Month,US,JP,EU
2012-07-01,98.53462,99.59361,96.18397
2012-08-01,98.39609,98.16354,96.98383
2012-09-01,98.19228,96.01846,94.98417
2012-10-01,97.99726,96.3249,94.28429
2012-11-01,98.63323,95.40557,93.5844
2012-12-01,99.31461,96.63133,94.08432
2013-01-01,99.03725,94.7921,93.5844
2013-02-01,99.45395,96.39197,93.5844
2013-03-01,99.38708,97.69186,93.98434
2013-04-01,99.08446,97.69186,94.68422
2013-05-01,99.37689,99.19173,94.88419
2013-06-01,99.51263,98.19182,95.28412
2013-07-01,98.75849,99.6917,94.7842
2013-08-01,99.61354,99.89168,95.28412
2013-09-01,99.70866,100.9916,95.3841
2013-10-01,99.80827,101.0916,95.08415
2013-11-01,99.80926,101.7915,96.38393
2013-12-01,99.62971,101.8915,96.38393
2014-01-01,98.5967,103.7914,96.48392
2014-02-01,99.51822,102.6914,97.38377
2014-03-01,100.3624,104.1913,96.78387
2014-04-01,100.3327,99.49171,98.18364
2014-05-01,100.6088,101.7915,96.88385
2014-06-01,100.9185,100.2916,96.68388
2014-07-01,101.4331,100.0917,97.7837
2014-08-01,100.8122,99.39172,95.88402
2014-09-01,100.8377,100.5916,96.88385
2014-10-01,100.7023,100.3916,96.78387
2014-11-01,101.363,100.3916,96.5839
2014-12-01,101.1604,99.89168,97.88368
2015-01-01,100.6295,102.8914,97.28378
2015-02-01,99.87882,99.79169,99.5834
2015-03-01,100.224,99.29173,100.2833
2015-04-01,100.1935,99.49171,99.78337
2015-05-01,100.1942,99.49171,100.1833
2015-06-01,99.80946,100.3916,100.4833
2015-07-01,100.6284,100.3916,100.6832
2015-08-01,100.166,98.59178,100.0833
2015-09-01,99.84659,100.4916,100.3833
2015-10-01,99.7925,100.6916,100.3833
2015-11-01,99.46852,99.89168,100.1833
2015-12-01,99.1685,98.49179,100.6832
2016-01-01,99.65945,100.0917,103.1828
2016-02-01,99.3233,99.19173,101.4831
2016-03-01,99.24086,99.6917,100.5832
2016-04-01,99.0637,99.29173,102.183
2016-05-01,99.03046,98.49179,100.6832
2016-06-01,99.18587,99.19173,101.5831
2016-07-01,99.37849,99.79169,101.6831
2016-08-01,98.89742,100.4916,101.783
2016-09-01,99.07308,100.7916,101.783
2016-10-01,99.18966,101.0916,102.7829
2016-11-01,99.10552,101.9915,103.2828
2016-12-01,99.13357,101.9915,103.0828
2017-01-01,99.39676,100.8916,102.283
2017-02-01,99.26791,101.5915,103.7827
2017-03-01,99.0115,101.4915,104.1826
2017-04-01,100.1059,104.0913,104.6826
2017-05-01,99.98352,102.2915,105.1825
2017-06-01,99.9409,103.2914,104.5826
2017-07-01,99.74159,102.4915,105.9823
2017-08-01,99.44437,103.9913,106.7822
2017-09-01,99.4755,102.8914,106.3823
2017-10-01,100.5154,103.2914,106.3823
2017-11-01,100.5249,104.1913,108.5819
2017-12-01,100.2789,105.7912,109.4818
2018-01-01,99.92144,101.3915,107.982
2018-02-01,100.8276,103.9913,106.3823
2018-03-01,100.9692,105.0912,106.4823
2018-04-01,101.593,104.4913,106.8822
2018-05-01,100.7906,104.7913,108.4819
2018-06-01,101.3157,103.6914,108.282
2018-07-01,101.5641,103.7914,106.7822
2018-08-01,101.7873,103.5914,107.982
2018-09-01,101.773,103.4914,107.2821
2018-10-01,101.2985,105.5912,107.6821
2018-11-01,100.886,104.5913,106.4823
2018-12-01,101.112,104.7913,106.9822
2019-01-01,100.3663,102.2915,107.2821
2019-02-01,99.83331,103.2914,107.6821
2019-03-01,99.75377,102.8914,107.882
2019-04-01,98.98465,102.7914,106.8822
2019-05-01,99.05252,104.1913,108.182
2019-06-01,99.25024,101.4915,106.3823
2019-07-01,98.83315,102.2915,106.2823
2019-08-01,99.34426,100.4916,106.2823
2019-09-01,98.71807,102.2915,106.2823
2019-10-01,97.99736,98.3918,106.0823
2019-11-01,98.72565,97.69186,105.2825
2019-12-01,98.72955,97.89185,103.9827
