Month,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",European Union - 27 countries (from 2020),European Union - 28 countries (2013-2020),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",Euro area - 19 countries  (from 2015),Euro area - 18 countries (2014),Belgium,Bulgaria,Czechia,Denmark,Germany (until 1990 former territory of the FRG),Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)",Iceland,Norway,Switzerland,United Kingdom,North Macedonia,Serbia,Turkey,United States
2006-01-01,83.28,84.10,83.24,85.35,85.24,85.29,82.33,73.81,82.8,85.1,86.1,70.73,91.5,85.76,84.60,86.97,81.23,84.0,85.07,69.88,73.29,81.35,69.36,80.32,85.81,82.84,80.4,86.51,68.12,81.44,84.35,82.21,87.04,83.25,56.76,83.4,97.90,78.5,82.76,52.9,47.35,83.63
2006-02-01,83.52,84.35,83.49,85.59,85.48,85.53,84.22,75.70,82.8,85.8,86.4,71.10,92.6,84.41,84.66,87.31,81.79,83.9,84.99,70.16,73.33,82.57,69.62,80.82,86.24,83.12,80.4,86.68,68.29,81.75,84.62,82.84,87.36,83.50,56.63,84.2,98.10,78.8,83.01,53.5,47.45,83.69
2006-03-01,83.92,84.79,83.88,86.09,85.98,86.02,84.16,75.87,82.7,86.1,86.5,71.17,92.9,86.73,85.26,87.69,82.04,84.9,85.99,70.30,73.48,82.71,70.02,81.69,86.93,83.34,80.5,87.72,68.43,82.35,84.63,83.09,87.93,83.90,57.27,84.4,98.00,78.9,83.08,53.9,47.58,84.15
2006-04-01,84.47,85.35,84.42,86.66,86.55,86.60,84.63,76.35,82.9,86.6,86.8,71.67,93.4,87.59,86.49,88.08,82.57,85.7,86.87,70.75,73.99,83.11,70.55,85.08,87.34,83.82,81.1,88.22,68.72,83.08,84.89,83.53,88.41,84.45,57.72,85.2,98.80,79.4,83.31,54.9,48.22,85.03
2006-05-01,84.76,85.61,84.72,86.89,86.79,86.84,84.93,76.52,83.3,86.7,87.0,72.06,93.9,87.69,86.80,88.46,83.07,85.9,87.04,71.92,74.31,83.62,71.31,85.63,87.30,83.83,81.5,88.70,69.13,83.83,85.31,83.46,88.59,84.74,58.39,85.2,98.90,79.9,84.42,56.0,49.13,85.52
2006-06-01,84.85,85.67,84.81,86.96,86.85,86.90,85.00,75.78,83.4,86.9,87.1,72.40,94.0,87.64,86.94,88.46,83.37,86.0,87.22,71.83,74.50,83.84,71.50,85.42,87.01,83.84,81.3,88.66,69.25,83.58,85.43,83.47,88.59,84.82,59.15,85.1,98.90,80.1,83.82,56.0,49.29,85.64
2006-07-01,84.76,85.58,84.72,86.85,86.75,86.79,84.09,75.95,83.7,86.7,87.5,72.72,94.0,86.90,86.45,88.29,82.74,85.8,86.09,72.27,74.88,83.33,71.63,85.74,86.71,83.71,81.3,88.53,69.33,83.34,85.53,83.09,88.29,84.74,59.40,84.9,98.30,80.0,83.58,55.4,49.71,85.82
2006-08-01,84.91,85.67,84.86,86.93,86.83,86.87,85.54,75.92,83.9,86.7,87.4,73.24,94.6,86.00,86.65,88.58,82.77,85.6,86.61,72.09,74.83,84.26,72.37,85.49,87.12,83.97,81.6,88.46,69.28,83.92,85.44,83.33,88.32,84.88,59.66,84.8,98.40,80.4,83.22,55.5,49.49,86.01
2006-09-01,84.95,85.70,84.90,86.93,86.83,86.88,85.13,75.63,83.5,87.0,87.0,73.07,94.4,87.76,86.48,88.40,82.38,86.2,87.65,72.57,74.73,83.80,73.35,85.66,87.54,83.85,81.6,88.82,69.32,84.19,85.27,83.41,88.75,84.93,60.09,86.2,98.20,80.5,82.93,55.5,50.13,85.41
2006-10-01,85.02,85.76,84.97,87.00,86.90,86.94,84.88,76.14,83.1,86.9,87.1,72.99,94.4,88.34,86.84,88.19,82.31,86.3,88.12,72.86,75.48,83.34,73.68,85.20,87.39,83.80,81.6,88.84,69.46,83.57,85.29,83.54,88.92,85.00,60.20,86.2,98.50,80.6,83.06,55.5,50.76,84.63
2006-11-01,85.08,85.82,85.06,87.03,86.94,86.98,85.06,76.95,82.9,86.9,87.0,73.55,94.4,88.20,87.05,88.30,82.60,86.4,88.03,73.57,76.07,83.43,73.84,82.26,87.37,83.91,81.6,88.84,70.22,83.83,85.74,83.54,88.93,85.07,60.16,86.0,98.40,80.8,83.79,55.9,51.42,84.45
2006-12-01,85.40,86.12,85.39,87.37,87.27,87.31,85.17,77.66,83.1,86.9,87.8,73.76,94.8,88.71,87.30,88.51,82.62,86.5,87.80,73.80,76.24,83.50,73.93,82.19,87.07,84.22,81.4,89.00,70.74,84.17,85.80,83.56,88.91,85.38,60.17,85.5,98.40,81.3,83.71,55.9,51.54,84.61
2007-01-01,85.03,85.80,85.02,86.92,86.83,86.87,83.73,78.79,83.9,86.6,87.6,74.27,94.2,88.36,86.67,88.17,82.81,85.6,86.30,74.83,76.25,83.22,75.21,81.27,86.86,84.28,81.7,88.74,70.89,83.76,86.23,83.29,88.46,85.00,60.33,84.5,97.90,80.6,83.71,56.1,52.05,84.76
2007-02-01,85.31,86.07,85.29,87.17,87.08,87.12,85.71,79.20,84.1,87.4,88.0,74.38,95.1,86.97,86.73,88.36,83.03,85.7,86.04,75.24,76.54,84.09,75.87,81.46,87.42,84.54,82.0,88.71,70.93,83.67,86.31,83.81,88.87,85.28,60.40,84.9,98.10,81.0,83.65,56.0,52.27,85.16
2007-03-01,85.83,86.61,85.81,87.75,87.66,87.70,85.71,79.23,84.4,87.8,88.2,75.17,95.7,89.13,87.40,88.77,83.65,86.6,87.19,76.26,76.97,84.66,76.32,82.09,88.55,84.94,82.4,89.82,70.98,84.57,86.36,84.42,89.37,85.80,59.99,85.5,98.30,81.4,83.96,56.3,52.75,86.13
2007-04-01,86.31,87.15,86.30,88.31,88.22,88.26,86.14,79.70,85.0,88.0,88.6,75.71,96.1,89.83,88.64,89.25,84.25,87.2,88.29,76.98,77.64,85.15,76.67,84.17,89.04,85.30,82.8,90.65,71.35,85.51,86.60,84.81,89.79,86.28,60.15,85.6,99.30,81.6,84.35,56.6,53.39,86.85
2007-05-01,86.54,87.38,86.53,88.52,88.43,88.47,86.04,79.96,85.3,88.2,88.7,76.32,96.4,89.99,88.89,89.48,84.70,87.5,88.73,77.55,78.01,85.52,77.30,84.76,89.07,85.45,83.3,90.81,71.81,86.49,86.62,84.55,89.67,86.51,60.73,85.7,99.50,81.8,85.03,57.4,53.66,87.58
2007-06-01,86.65,87.48,86.64,88.61,88.52,88.56,86.10,79.79,85.6,88.0,88.8,76.74,96.6,89.95,89.06,89.61,84.51,87.7,88.70,78.21,78.21,85.73,77.58,84.93,88.61,85.45,83.4,90.78,71.92,86.79,86.68,84.67,89.78,86.62,60.95,85.6,99.60,82.0,85.00,57.6,53.53,87.67
2007-07-01,86.42,87.31,86.41,88.39,88.31,88.35,85.19,81.15,85.9,87.6,89.3,77.47,96.5,89.27,88.44,89.32,84.16,87.2,88.10,79.14,78.71,85.04,77.58,85.54,87.94,85.39,83.3,90.56,72.14,86.70,86.58,84.44,89.50,86.39,60.93,85.4,99.00,81.5,84.88,57.6,53.14,87.52
2007-08-01,86.53,87.38,86.52,88.45,88.37,88.40,86.52,82.96,86.1,87.4,89.1,77.74,96.9,88.36,88.59,89.70,84.61,87.0,88.56,79.46,78.98,85.83,77.54,86.00,88.05,85.42,83.2,90.18,72.76,86.83,86.50,84.45,89.39,86.50,60.72,85.4,98.90,81.8,85.11,58.9,53.15,87.26
2007-09-01,86.85,87.75,86.84,88.78,88.71,88.74,86.36,83.96,85.9,88.0,89.3,78.56,97.1,90.35,88.85,89.83,85.19,87.7,89.70,80.92,80.07,85.89,78.07,86.43,88.66,85.63,83.8,90.57,73.55,87.22,86.75,84.83,90.14,86.82,61.38,86.0,99.00,81.9,85.62,59.8,53.70,87.61
2007-10-01,87.30,88.21,87.28,89.21,89.15,89.18,86.76,84.24,86.4,88.4,89.4,79.37,97.2,90.98,90.00,90.08,85.50,88.3,90.49,82.51,81.24,86.35,78.73,86.52,88.79,86.20,84.2,91.04,74.27,87.85,87.35,85.07,90.59,87.26,61.60,86.0,99.80,82.3,85.90,60.2,54.67,87.80
2007-11-01,87.75,88.71,87.74,89.69,89.63,89.66,87.50,85.74,87.2,89.1,89.9,80.37,97.7,91.67,90.65,90.62,86.30,88.6,90.84,83.65,82.10,86.77,79.14,84.64,88.93,86.61,84.7,91.33,74.96,88.66,87.70,85.37,91.09,87.71,61.82,86.9,100.20,82.5,87.01,60.9,55.74,88.56
2007-12-01,88.11,89.06,88.10,90.05,89.98,90.01,87.82,86.64,87.6,89.0,90.5,80.94,97.8,92.13,91.04,90.99,87.09,88.9,91.08,84.15,82.49,87.09,79.40,84.70,88.45,87.14,84.9,91.44,75.45,89.00,87.94,85.18,91.16,88.08,62.25,87.3,100.40,83.0,88.13,61.7,55.86,88.46
2008-01-01,87.92,88.94,87.92,89.70,89.67,89.69,86.68,87.98,90.5,89.3,90.2,82.63,97.1,91.82,90.46,90.98,87.58,88.3,89.81,86.52,83.87,86.71,80.74,84.37,88.42,86.89,85.3,91.31,76.09,89.09,88.97,86.16,91.15,87.89,62.21,86.9,100.40,82.4,89.89,62.4,56.31,88.88
2008-02-01,88.30,89.27,88.29,90.02,89.98,90.01,88.82,88.90,90.6,90.2,90.6,82.95,98.3,90.93,90.59,91.18,87.54,88.3,90.12,87.67,84.87,87.58,80.94,84.67,89.17,87.16,85.7,91.32,76.63,88.98,89.23,86.57,91.49,88.27,63.12,87.5,100.40,83.0,90.70,62.8,57.03,89.12
2008-03-01,89.04,90.08,89.03,90.90,90.87,90.89,89.47,89.71,90.4,90.7,91.1,83.62,99.3,93.03,91.41,91.91,88.14,89.7,91.06,88.94,85.77,88.37,81.42,85.63,90.23,87.95,86.0,92.65,77.15,90.16,89.49,87.44,92.30,89.00,64.10,87.9,100.70,83.4,91.41,63.8,57.58,90.03
2008-04-01,89.41,90.40,89.40,91.19,91.17,91.18,89.65,90.37,90.8,91.0,90.9,84.48,99.4,93.80,92.40,92.26,88.81,90.2,92.13,90.36,86.86,88.78,81.89,87.60,90.55,88.18,86.3,92.94,77.56,90.82,89.76,87.58,92.64,89.37,66.60,87.9,101.50,84.0,91.94,64.9,58.55,90.77
2008-05-01,89.97,90.96,89.97,91.76,91.74,91.75,90.43,91.14,91.1,91.4,91.5,84.99,100.0,94.44,93.04,92.79,89.88,90.8,92.85,91.28,87.58,89.66,82.64,88.22,90.92,88.66,86.9,93.39,77.94,91.88,90.10,88.05,93.02,89.93,67.85,88.1,102.10,84.6,92.22,65.5,59.43,91.81
2008-06-01,90.34,91.30,90.34,92.11,92.09,92.10,91.06,91.55,91.3,91.7,91.8,85.54,100.4,94.39,93.58,93.18,90.68,91.2,93.32,91.91,88.12,90.31,82.74,88.67,90.66,88.90,87.1,93.86,78.16,92.71,90.42,88.34,93.37,90.29,68.59,88.2,102.40,85.2,92.67,65.7,59.21,92.96
2008-07-01,90.26,91.22,90.27,91.97,91.95,91.97,90.21,92.86,91.7,91.4,92.3,86.16,99.9,93.68,93.15,92.93,90.90,90.7,92.81,92.23,88.49,89.97,82.99,90.33,90.55,88.64,87.1,93.39,78.71,92.70,90.41,88.10,92.92,90.23,69.23,88.8,102.20,85.1,91.91,65.1,59.55,93.50
2008-08-01,90.23,91.08,90.24,91.84,91.82,91.83,91.16,92.76,91.5,91.6,92.0,86.38,100.0,92.63,92.97,92.87,90.61,90.7,93.05,91.83,88.63,89.97,82.49,90.62,90.67,88.48,86.9,92.97,78.64,92.06,90.35,88.34,93.02,90.20,70.00,88.8,102.00,85.7,91.55,65.3,59.41,93.00
2008-09-01,90.48,91.28,90.48,92.01,92.00,92.01,91.07,93.57,91.3,92.0,92.0,87.04,100.2,94.61,92.92,92.84,90.51,91.1,94.17,92.85,89.08,90.05,82.45,90.66,91.13,88.82,87.2,93.44,78.96,92.06,90.70,88.83,93.91,90.46,70.83,90.1,101.80,86.1,91.35,66.0,59.67,92.87
2008-10-01,90.51,91.35,90.51,92.04,92.03,92.04,90.92,93.67,91.4,91.8,91.7,87.36,99.9,94.64,93.24,92.79,90.38,91.5,94.87,93.81,89.90,89.68,82.75,91.49,90.98,88.79,87.5,93.28,79.80,92.05,91.01,88.81,93.72,90.49,72.63,90.4,102.40,85.9,91.93,67.1,61.23,91.59
2008-11-01,90.17,90.97,90.17,91.59,91.59,91.60,90.32,93.26,90.8,91.6,91.2,87.17,99.8,94.43,92.83,92.32,90.16,91.1,93.69,93.34,89.63,88.51,82.37,88.76,90.61,88.56,87.7,92.63,80.07,91.24,91.12,88.35,93.26,90.15,74.05,89.7,101.40,85.8,92.01,67.2,61.74,89.17
2008-12-01,90.01,90.85,90.01,91.47,91.47,91.48,90.19,92.87,90.5,91.2,91.5,87.04,99.1,94.15,92.36,92.07,89.56,91.0,92.74,92.90,89.47,87.71,82.07,88.92,89.91,88.42,87.7,92.21,80.26,90.57,91.06,88.06,93.10,89.99,75.34,89.5,100.80,85.5,92.46,66.7,61.48,87.95
