Month,JP,US,EU
2012-07-01,12245.25,2396.62,26.52
2012-08-01,12459.97,2450.6,27
2012-09-01,12606.65,2513.93,27.110001
2012-10-01,12688.71,2467.51,27.33
2012-11-01,13423.66,2481.82,27.940001
2012-12-01,14793.53,2504.44,28.299999
2013-01-01,15852.63,2634.16,29.110001
2013-02-01,16463.47,2669.92,29.389999
2013-03-01,17784.57,2770.05,29.67
2013-04-01,19883.34,2823.42,30.200001
2013-05-01,19759.5,2889.46,30.9
2013-06-01,19646.04,2850.66,28.82
2013-07-01,19634.56,2995.72,30.389999
2013-08-01,19245.8,2908.96,30.219999
2013-09-01,20892.3,3000.18,31.309999
2013-10-01,20709.09,3138.09,32.57
2013-11-01,22639.77,3233.72,32.869999
2013-12-01,23573.02,3315.59,32.91
2014-01-01,21582.43,3200.95,32.41
2014-02-01,21488.85,3347.38,34.040001
2014-03-01,21625.48,3375.51,33.639999
2014-04-01,20861.66,3400.46,34.220001
2014-05-01,21340.48,3480.29,35.23
2014-06-01,22141.62,3552.18,34.57
2014-07-01,22812.87,3503.19,34.029999
2014-08-01,22539.31,3643.34,34.66
2014-09-01,23770.65,3592.25,34.400002
2014-10-01,24125.54,3679.99,33.889999
2014-11-01,25665.29,3778.96,35.040001
2014-12-01,25683.09,3769.44,34.25
2015-01-01,26013.99,3656.28,36.98
2015-02-01,27682.88,3866.42,39.48
2015-03-01,28452.14,3805.27,40.02
2015-04-01,28916.68,3841.78,40.080002
2015-05-01,30462,3891.18,40.73
2015-06-01,30041.85,3815.85,38.5
2015-07-01,30562.32,3895.8,40.139999
2015-08-01,28061.09,3660.75,36.779999
2015-09-01,26001.86,3570.17,34.91
2015-10-01,28538.43,3871.33,37.830002
2015-11-01,29535.62,3882.84,38.810001
2015-12-01,28507.92,3821.6,36.900002
2016-01-01,26240.18,3631.96,34.279999
2016-02-01,24021.78,3627.06,33.560001
2016-03-01,25307.89,3873.11,33.880001
2016-04-01,25168.02,3888.13,34.48
2016-05-01,26027.2,3957.95,35.439999
2016-06-01,23563.61,3968.21,33.220001
2016-07-01,25068.29,4114.51,34.509998
2016-08-01,25566.82,4120.29,34.700001
2016-09-01,25078.37,4121.06,34.310001
2016-10-01,26566.39,4045.89,33.919998
2016-11-01,27917.34,4195.73,34.290001
2016-12-01,29187.34,4278.66,36.130001
2017-01-01,29077.97,4359.81,35.91
2017-02-01,29214.45,4532.93,36.970001
2017-03-01,29096.37,4538.21,38.220001
2017-04-01,29538.81,4584.82,38.529999
2017-05-01,30237.31,4649.34,39.18
2017-06-01,30884.9,4678.36,37.720001
2017-07-01,30720.17,4774.56,37.639999
2017-08-01,30309.05,4789.18,37.369999
2017-09-01,31607.78,4887.97,38.200001
2017-10-01,34186.47,5002.03,38.759998
2017-11-01,35300.22,5155.44,38.099998
2017-12-01,35413.76,5212.76,38.259998
2018-01-01,35934.98,5511.21,38.875
2018-02-01,34351.49,5308.09,37.330002
2018-03-01,33650.39,5173.19,36.639999
2018-04-01,35241.8,5193.04,38.244999
2018-05-01,34824.56,5318.1,38.349998
2018-06-01,35050.37,5350.83,37.715
2018-07-01,35444.27,5549.96,38.939999
2018-08-01,35955.6,5730.8,38.07
2018-09-01,38173.51,5763.42,37.814999
2018-10-01,34722.2,5369.49,35.689999
2018-11-01,35411.41,5478.91,35.360001
2018-12-01,31769.86,4984.22,33.16
2019-01-01,32976.92,5383.63,35.369999
2019-02-01,33971.97,5556.49,36.794998
2019-03-01,33960.15,5664.46,37.505001
2019-04-01,35646.44,5893.81,38.939999
2019-05-01,32992.94,5519.27,37.07
2019-06-01,34152.83,5908.25,38.285
2019-07-01,34549.42,5993.17,38.345001
2019-08-01,33262.89,5898.23,37.875
2019-09-01,35207.83,6008.59,38.790001
2019-10-01,37104.01,6138.73,39.224998
2019-11-01,37701.26,6361.56,40.325001
2019-12-01,38352.64,6553.57,41.294998
