Month,US,JP,EU
2012-07-01,51.8,47.9,44.1
2012-08-01,51.9,47.7,45.3
2012-09-01,51.5,48,46
2012-10-01,51.3,46.9,45.3
2012-11-01,52.4,46.5,46.2
2012-12-01,54.2,45,46.3
2013-01-01,56.1,47.7,47.5
2013-02-01,55.2,48.5,47.8
2013-03-01,54.9,50.4,46.6
2013-04-01,52,51.1,46.5
2013-05-01,51.9,51.5,47.8
2013-06-01,52.2,52.3,48.7
2013-07-01,53.2,50.7,50.1
2013-08-01,53.9,52.2,51.3
2013-09-01,52.8,52.5,51.1
2013-10-01,51.1,54.2,51.3
2013-11-01,54.3,55.1,51.5
2013-12-01,54.4,55.2,52.7
2014-01-01,53.7,56.6,53.9
2014-02-01,56.7,55.5,53
2014-03-01,55.5,53.9,53
2014-04-01,55.4,49.4,53.3
2014-05-01,56.2,49.9,52.5
2014-06-01,57.5,51.1,51.9
2014-07-01,56.3,50.8,51.9
2014-08-01,58,52.4,50.8
2014-09-01,57.9,51.7,50.5
2014-10-01,56.2,52.8,50.7
2014-11-01,54.7,52.1,50.4
2014-12-01,53.7,52.1,50.8
2015-01-01,53.7,52.1,51
2015-02-01,54.3,51.5,51.1
2015-03-01,55.3,50.4,51.9
2015-04-01,54.2,49.7,51.9
2015-05-01,53.8,50.9,52.3
2015-06-01,53.4,49.9,52.5
2015-07-01,53.8,51.4,52.2
2015-08-01,52.9,51.9,52.4
2015-09-01,53,50.9,52
2015-10-01,54,52.5,52
2015-11-01,52.6,52.8,52.8
2015-12-01,51.3,52.5,53.1
2016-01-01,52.7,52.4,52.3
2016-02-01,51,50.2,51
2016-03-01,51.4,49.1,51.4
2016-04-01,50.8,48,51.5
2016-05-01,50.5,47.6,51.5
2016-06-01,51.4,47.8,52.6
2016-07-01,52.9,49,51.9
2016-08-01,52.1,49.6,51.8
2016-09-01,51.4,50.3,52.6
2016-10-01,53.2,51.7,53.3
2016-11-01,53.9,51.1,53.7
2016-12-01,54.2,51.9,54.9
2017-01-01,55.1,52.8,55.1
2017-02-01,54.3,53.5,55.5
2017-03-01,53.4,52.6,56.2
2017-04-01,52.8,52.8,56.8
2017-05-01,52.5,52,57
2017-06-01,52.1,52,57.3
2017-07-01,53.2,52.2,56.8
2017-08-01,52.5,52.8,57.4
2017-09-01,53,52.6,58.2
2017-10-01,54.5,52.5,58.6
2017-11-01,53.8,53.8,60
2017-12-01,55,54.2,60.6
2018-01-01,55.5,54.4,59.6
2018-02-01,55.9,54,58.5
2018-03-01,55.7,53.2,56.6
2018-04-01,56.5,53.3,56
2018-05-01,56.6,52.5,55.5
2018-06-01,54.6,53.1,55
2018-07-01,55.5,51.6,55.1
2018-08-01,54.5,52.5,54.6
2018-09-01,55.6,52.9,53.3
2018-10-01,55.9,53.1,52.1
2018-11-01,55.4,51.8,51.5
2018-12-01,53.9,52.4,51.4
2019-01-01,54.9,50,50.5
2019-02-01,53.7,48.5,49.2
2019-03-01,52.5,48.9,47.6
2019-04-01,52.4,49.5,47.8
2019-05-01,50.6,49.6,47.7
2019-06-01,50.1,49.5,47.8
2019-07-01,50,49.6,46.4
2019-08-01,49.9,49.5,47
2019-09-01,51,48.9,45.6
2019-10-01,51.5,48.5,45.7
2019-11-01,52.2,48.6,46.6
2019-12-01,52.5,48.8,45.9
