Month,EU,US,JP
2012-07-01,10.6,8.6,4.4
2012-08-01,10.6,8.2,4.2
2012-09-01,10.8,7.6,4.2
2012-10-01,11.1,7.5,4.1
2012-11-01,11.4,7.4,3.9
2012-12-01,11.3,7.6,4.0
2013-01-01,12.1,8.5,4.2
2013-02-01,12.2,8.1,4.2
2013-03-01,12.0,7.6,4.3
2013-04-01,11.7,7.1,4.4
2013-05-01,11.4,7.3,4.2
2013-06-01,11.1,7.8,4.0
2013-07-01,11.0,7.7,3.9
2013-08-01,10.9,7.3,4.1
2013-09-01,11.1,7.0,3.9
2013-10-01,11.3,7.0,4.0
2013-11-01,11.4,6.6,3.8
2013-12-01,11.2,6.5,3.5
2014-01-01,11.8,7.0,3.7
2014-02-01,11.8,7.0,3.6
2014-03-01,11.6,6.8,3.8
2014-04-01,11.1,5.9,3.9
2014-05-01,10.8,6.1,3.7
2014-06-01,10.5,6.3,3.7
2014-07-01,10.3,6.5,3.8
2014-08-01,10.3,6.3,3.5
2014-09-01,10.5,5.7,3.5
2014-10-01,10.7,5.5,3.5
2014-11-01,10.9,5.5,3.3
2014-12-01,10.5,5.4,3.2
2015-01-01,10.9,6.1,3.5
2015-02-01,11.0,5.8,3.5
2015-03-01,10.8,5.6,3.5
2015-04-01,10.4,5.1,3.6
2015-05-01,10.1,5.3,3.4
2015-06-01,9.9,5.5,3.4
2015-07-01,9.5,5.6,3.4
2015-08-01,9.4,5.2,3.4
2015-09-01,9.6,4.9,3.4
2015-10-01,9.8,4.8,3.1
2015-11-01,9.8,4.8,3.2
2015-12-01,9.7,4.8,3.1
2016-01-01,9.9,5.3,3.2
2016-02-01,10.0,5.2,3.2
2016-03-01,9.8,5.1,3.3
2016-04-01,9.4,4.7,3.4
2016-05-01,9.2,4.5,3.2
2016-06-01,9.0,5.1,3.1
2016-07-01,8.8,5.1,3.0
2016-08-01,8.7,5.0,3.2
2016-09-01,8.8,4.8,3.0
2016-10-01,8.9,4.7,2.9
2016-11-01,8.9,4.4,3.0
2016-12-01,8.7,4.5,2.9
2017-01-01,9.0,5.1,3.0
2017-02-01,9.0,4.9,2.9
2017-03-01,8.8,4.6,2.8
2017-04-01,8.4,4.1,2.9
2017-05-01,8.2,4.1,3.1
2017-06-01,7.9,4.5,2.8
2017-07-01,7.8,4.6,2.8
2017-08-01,7.8,4.5,2.8
2017-09-01,7.8,4.1,2.8
2017-10-01,7.9,3.9,2.7
2017-11-01,7.8,3.9,2.6
2017-12-01,7.7,3.9,2.6
2018-01-01,8.1,4.5,2.4
2018-02-01,8.0,4.4,2.5
2018-03-01,7.8,4.1,2.5
2018-04-01,7.5,3.7,2.6
2018-05-01,7.2,3.6,2.3
2018-06-01,7.1,4.2,2.5
2018-07-01,6.9,4.1,2.5
2018-08-01,6.9,3.9,2.5
2018-09-01,6.9,3.6,2.4
2018-10-01,7.1,3.5,2.4
2018-11-01,7.1,3.5,2.4
2018-12-01,7.0,3.7,2.3
2019-01-01,7.4,4.4,2.4
2019-02-01,7.3,4.1,2.3
2019-03-01,7.1,3.9,2.5
2019-04-01,6.9,3.3,2.6
2019-05-01,6.6,3.4,2.4
2019-06-01,6.4,3.8,2.3
2019-07-01,6.5,4.0,2.3
2019-08-01,6.5,3.8,2.3
2019-09-01,6.5,3.3,2.4
2019-10-01,6.6,3.3,2.4
2019-11-01,6.6,3.3,2.2
2019-12-01,6.6,3.4,2.1
